,precision,recall,f1-score,support
Barley,0.5526315789473685,0.34710743801652894,0.4263959390862944,121.0
Bean,0.25,0.12195121951219512,0.16393442622950818,41.0
Dagussa,0.0,0.0,0.0,15.0
Fallow,0.0,0.0,0.0,3.0
Maize,0.5028248587570622,0.6312056737588653,0.559748427672956,141.0
Niger seed,0.0,0.0,0.0,15.0
Pea,0.42857142857142855,0.2,0.2727272727272727,15.0
Potato,0.0,0.0,0.0,6.0
Red Pepper,0.0,0.0,0.0,9.0
Sorghum,0.0,0.0,0.0,14.0
Teff,0.5791044776119403,0.7637795275590551,0.6587436332767402,254.0
Wheat,0.47183098591549294,0.4785714285714286,0.475177304964539,140.0
accuracy,0.5167958656330749,0.5167958656330749,0.5167958656330749,0.5167958656330749
macro avg,0.2320802774836077,0.2118846072848394,0.2130605836631092,774.0
weighted avg,0.47492787197357966,0.5167958656330749,0.48472398326224136,774.0
